identifier,new,old,breakdown,Keep outliers,SD,ICR,Report
1st_anc_visits,['105-AN01a. ANC 1st Visit for women'],['105-2.1 A1:ANC 1st Visit for women'],[],KfDQ64Ds6KM,Rlb6ggIBcON,r5dNrFREQLs,pkh0jFmw2Dm
4th_anc_visits,['105-AN02. ANC 4th Visit for women'],['105-2.1 A2:ANC 4th Visit for women'],[],eViD0YEMaYD,b62c2L2t9TD,aeEchiveNXZ,TnzZPzsEIOh
abortions_gbv,['105-MC01. Abortions due to Gender-Based Violence (GBV)'],['105-1.3 OPD Abortions Due To Gender Based Violence (GBV) '],[],A1RBXjPqaxd,da6p0bjxfjs,WcuzDsDP2i4,OqcEI9cFX81
abortions_other,['105-MC02. Abortions due to other causes'],['105-1.3 OPD Abortions Due To Other Causes '],[],mIik9RS9fP9,AR66Oyr079V,K1rjxvkX7s6,degZvgZVSKO
actual_105_1_reporting,"['HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition) Actual reports 1. National']",['HMIS 105:1 Actual reports'],[],RtEYsASU7PG.ACTUAL_REPORTS,,,
anc_initiated_hiv,"['105-AN32. HIV+ pregnant women initiated on ART for eMTCT at any visit irrespective of when tested HIV+ (TRR, TRR+,TRRâ€šÃ Ã¶)']",['105-2.1 HIV+ Pregnant Women initiated on ART for EMTCT (ART)'],[],EA6szilkhpX,srLiKgNihE8,Pl3AzjlaCyz,CQrzhk2ZsTJ
anc_tested_hiv,['105-AN29a. Pregnant women newly tested for HIV in this pregnancy at any ANC visit (TR & TRR) - total'],['105-2.1 Pregnant Women newly tested for HIV this pregnancy(TR & TRR)'],[],tztMhj8prOq,tFxvDaePoq2,kMFumF6Qc7R,wOu9eL4aebi
anc_tested_hiv_positive,['105-AN30a. Pregnant Women tested HIV+ for 1st time this pregnancy (TRR) at any ANC Visit - Total'],['105-2.1 Pregnant Women tested HIV+ for 1st time this pregnancy (TRR) at any visit'],[],VTiDtpV3CZl,auRWCNpNr73,rpKaOH5Oahv,DtwBOQSRclD
bcg,['105-CL01. BCG'],['105-2.11 BCG'],[],AwU42pnHxza,dsDfX1oijjE,UzOt0yVurwY,Cc699XuyQ70
bcg__u1_outreach,['105-CL01. BCG'],['105-2.11 BCG'],"['<1Yr, Outreach', 'Under 1, Outreach, Female', 'Under 1, Outreach, Male']",mcq2oWACqDk,tdHvL4GYT3x,XCUssMihKX7,tbgRmze4qPQ
bcg__u1_static,['105-CL01. BCG'],['105-2.11 BCG'],"['<1Yr, Static', 'Under 1, Static, Female', 'Under 1, Static, Male']",Pt3F4xndNAq,RYasUZhbW2q,RIfa9WWxesh,MF9UC1YxuwN
births,['105-MA04a. Deliveries in unit - Total'],['105-2.2a Deliveries in unit'],[],eukK4tTDt4Y,yfxQQoq26Q3,SnnK6W5Iacq,AFU2aCbPs8f
births_fresh_stillbirth,['105-MA04c1. Deliveries in unit - Fresh still birth - Total'],['105-2.2b Deliveries in unit(Fresh Still births)'],[],EiXrL99WYjc,CQ2VU2d8Brg,hP4EiGzRAuA,k2z6BNWEGWt
births_live,['105-MA04b1. Deliveries in unit -Live births - Total'],['105-2.2d Deliveries in unit(Live Births)'],[],tz7Q6c42rO6,IyWp6ofScCD,lTrTl5pa4nB,DzN5Dw2v7Pc
births_macerated_stillbirth,['105-MA04d1. Deliveries in unit - Macerated still birth - Total'],['105-2.2c Deliveries in unit(Macerated still births)'],[],iWZEIQ28AOF,K0An20QZvpq,jtLr0iqwQ6R,lwNL1aPyeqC
breastfed_1st_hour,['105-MA14a. Mothers who initiated breastfeeding within the 1st hour after delivery - Total'],['105-2.2 No. of mothers who initiated breastfeeding within the 1st hour after delivery (Total)'],[],PqsxNfudLW6,FbXL3AjwBEP,WtJe7spCxpO,n6QJ1vEtSuM
contraceptives_emergency__fp_emergency_all,['105-CT05. Oral Emergency contraceptives'],['105-2.6 Emergency contraceptives '],"['CBDs', 'Outreach', 'Unit', 'No. Dispensed by CBD', 'No. Disp. At Outreach', 'No. Dispensed at Unit']",wdAba5SyKuC,Pp4GOtPUwY6,KK8AGBpOQ2r,AXDnGd4m2AG
contraceptives_female_condom,['105-FP19. Female Condoms'],['105-2.5 Female Condom'],[],TzorFgp4mKs,iwYZfCDARlV,RvEYU9hmqBK,yYVQ6PMbXt2
contraceptives_female_condom__fp_contraception_u20,['105-FP19. Female Condoms'],['105-2.5 Female Condom'],"['15-19Yrs, New', '15-19Yrs, Revisits', '<15Yrs, New', '<15Yrs, Revisits', 'New Users, 10-19 Years', 'Revisits, 10-19 Years']",KcLJW1hEjl3,bNla6pKtj66,GboGtewrwhP,TzgyU1xB7DB
contraceptives_injectable,"['105-FP06. Injectable DMPA(IM)3 months', '105-FP07. Injectable DMPA(SC) 3 months', '105-FP08. Injection 2 months', '105-FP09. Injection 1 month']",['105-2.5 Injectable'],[],YIES0BdF2qy,MXXHYYam5sE,KRd2g2p6DeA,B0S1TKOC1Vb
