,breakdown,instance
105-CL01. BCG,"['<1Yr, Outreach' '<1Yr, Static']",new
105-CL08. DPT-HepB+Hib 1,"['1-4Yrs, Outreach' '1-4Yrs, Static' '<1Yr, Outreach' '<1Yr, Static']",new
105-CL10. DPT-HepB+Hib 3,"['1-4Yrs, Outreach' '1-4Yrs, Static' '<1Yr, Outreach' '<1Yr, Static']",new
105-CL16. Measles (MR1),"['1-4Yrs, Outreach' '1-4Yrs, Static' '5-14Yrs, Static' '<1Yr, Outreach'
 '<1Yr, Static']",new
105-CL11. PCV 1,"['1-4Yrs, Outreach' '1-4Yrs, Static' '<1Yr, Outreach' '<1Yr, Static']",new
105-CL13. PCV 3,"['1-4Yrs, Outreach' '1-4Yrs, Static' '5-14Yrs, Static' '<1Yr, Outreach'
 '<1Yr, Static']",new
105-VP01. HPV1-Dose 1,['Community' 'Facility' 'School'],new
105-VP02. HPV2-Dose 2,['Community' 'Facility' 'School'],new
105-TD01. Td1-Dose 1,"['Non-Pregnant Women, Outreach' 'Non-Pregnant Women, School'
 'Non-Pregnant Women, Static' 'Pregnant Women, Outreach'
 'Pregnant Women, Static']",new
105-TD02. Td2-Dose 2,"['Non-Pregnant Women, Outreach' 'Non-Pregnant Women, School'
 'Non-Pregnant Women, Static' 'Pregnant Women, Outreach'
 'Pregnant Women, Static']",new
105-TD03. Td3-Dose 3,"['Non-Pregnant Women, Outreach' 'Non-Pregnant Women, School'
 'Non-Pregnant Women, Static' 'Pregnant Women, Outreach'
 'Pregnant Women, Static']",new
105-TD04. Td4-Dose 4,"['Non-Pregnant Women, Outreach' 'Non-Pregnant Women, School'
 'Non-Pregnant Women, Static' 'Pregnant Women, Outreach'
 'Pregnant Women, Static']",new
105-TD05. Td5-Dose 5,"['Non-Pregnant Women, Outreach' 'Non-Pregnant Women, School'
 'Non-Pregnant Women, Static' 'Pregnant Women, Outreach'
 'Pregnant Women, Static']",new
108-CI02. No. of admissions,"['AcuteCareUnit' 'ENT' 'Emergency Ward' 'Eye' 'FemaleMedical'
 'FemaleSurgical' 'Gynaecology' 'Intensive Care Unit (ICU)' 'MaleMedical'
 'MaleSurgical' 'Maternity_Obstetric' 'Nutrition' 'Orthopaedic'
 'Other wards' 'Paediatrics' 'Palliative' 'Psychiatric' 'TB']",new
105-OA01. New attendance,"['0-28Dys, Female' '0-28Dys, Male' '10-19Yrs, Female' '10-19Yrs, Male'
 '20+Yrs, Female' '20+Yrs, Male' '29Dys-4Yrs, Female' '29Dys-4Yrs, Male'
 '5-9Yrs, Female' '5-9Yrs, Male']",new
105-OA02. Re-attendance,"['0-28Dys, Female' '0-28Dys, Male' '10-19Yrs, Female' '10-19Yrs, Male'
 '20+Yrs, Female' '20+Yrs, Male' '29Dys-4Yrs, Female' '29Dys-4Yrs, Male'
 '5-9Yrs, Female' '5-9Yrs, Male']",new
"105-AN32. HIV+ pregnant women initiated on ART for eMTCT at any visit irrespective of when tested HIV+ (TRR, TRR+,TRR√)",['15-19Yrs' '20-24Yrs' '25-49Yrs' '50+Yrs' '<15Yrs'],new
105-AN29a. Pregnant women newly tested for HIV in this pregnancy at any ANC visit (TR & TRR) - total,['15-19Yrs' '20-24Yrs' '25-49Yrs' '50+Yrs' '<15Yrs'],new
105-AN30a. Pregnant Women tested HIV+ for 1st time this pregnancy (TRR) at any ANC Visit - Total,['15-19Yrs' '20-24Yrs' '25-49Yrs' '50+Yrs' '<15Yrs'],new
105-HT03a3. Total Linked to HIV Care,"['1-4Yrs, Female' '1-4Yrs, Male' '10-14Yrs, Female' '10-14Yrs, Male'
 '15-19Yrs, Female' '15-19Yrs, Male' '20-24Yrs, Female' '20-24Yrs, Male'
 '25-29Yrs, Female' '25-29Yrs, Male' '30-34Yrs, Female' '30-34Yrs, Male'
 '35-39Yrs, Female' '35-39Yrs, Male' '40-44Yrs, Female' '40-44Yrs, Male'
 '45-49Yrs, Female' '45-49Yrs, Male' '5-9Yrs, Female' '5-9Yrs, Male'
 '50+Yrs, Female' '50+Yrs, Male' '<1Yr, Female' '<1Yr, Male']",new
105-MA17. Women initiating ART in maternity - HIV+,['default'],new
105-MA15a. Women tested for HIV in labour 1st time this Pregnancy - Total (TR & TRR),['default'],new
105-MA16a. Women re-tested for HIV in labour - Total (TR & TRR),['default'],new
105-MA15b. Women tested for HIV in labour 1st time this Pregnancy - HIV+ (TRR),['default'],new
105-MA16b. Women re-tested for HIV in labour - HIV+ (TRR+),['default'],new
105-PN05a. HIV+ women initiating ART in Postnatal - Total,['default'],new
105-PN03a. Breastfeedng mothers tested for HIV 1st time during Postnatal - Total (TR & TRR),['default'],new
105-PN03b. Breastfeedng mothers tested for HIV 1st time during Postnatal - TRR,['default'],new
105-HT03a1. Total Tested for HIV,"['1-4Yrs, Female' '1-4Yrs, Male' '10-14Yrs, Female' '10-14Yrs, Male'
 '15-19Yrs, Female' '15-19Yrs, Male' '20-24Yrs, Female' '20-24Yrs, Male'
 '25-29Yrs, Female' '25-29Yrs, Male' '30-34Yrs, Female' '30-34Yrs, Male'
 '35-39Yrs, Female' '35-39Yrs, Male' '40-44Yrs, Female' '40-44Yrs, Male'
 '45-49Yrs, Female' '45-49Yrs, Male' '5-9Yrs, Female' '5-9Yrs, Male'
 '50+Yrs, Female' '50+Yrs, Male' '<1Yr, Female' '<1Yr, Male']",new
105-HT03a2. Total New HIV+,"['1-4Yrs, Female' '1-4Yrs, Male' '10-14Yrs, Female' '10-14Yrs, Male'
 '15-19Yrs, Female' '15-19Yrs, Male' '20-24Yrs, Female' '20-24Yrs, Male'
 '25-29Yrs, Female' '25-29Yrs, Male' '30-34Yrs, Female' '30-34Yrs, Male'
 '35-39Yrs, Female' '35-39Yrs, Male' '40-44Yrs, Female' '40-44Yrs, Male'
 '45-49Yrs, Female' '45-49Yrs, Male' '5-9Yrs, Female' '5-9Yrs, Male'
 '50+Yrs, Female' '50+Yrs, Male' '<1Yr, Female' '<1Yr, Male']",new
033B-CD01a. Malaria (diagnosed)  - Cases,['default'],new
033B-MA06. Not tested cases treated,['default'],new
033B-MA07. RDT Negative Cases Treated,['default'],new
033B-MA08. RDT Positive Cases Treated,['default'],new
033B-MA09. Microscopy Negative Cases Treated,['default'],new
033B-MA10. Microscopy Positive Cases Treated,['default'],new
