,dataElement,period,orgUnit,categoryOptionCombo,attributeOptionCombo,value,storedBy,created,lastUpdated,followup
0,105-ND08. Other Neonatal Conditions,202101,Alanyi HC III,"0-28Dys, Male",Lf2Axb9E6B4,2,carapai,2021-11-24T14:10:25.000+0000,2021-11-24T14:10:25.000+0000,False
1,105-ND08. Other Neonatal Conditions,202101,Alado HC II,"0-28Dys, Male",Lf2Axb9E6B4,1,carapai,2021-11-24T16:34:06.000+0000,2021-11-24T16:34:06.000+0000,False
2,105-ND08. Other Neonatal Conditions,202101,Alapata HC II,"0-28Dys, Female",Lf2Axb9E6B4,1,carapai,2021-11-24T17:45:04.000+0000,2021-11-24T17:45:04.000+0000,False
3,105-NA10c1. No. of clients(<10) with MAM admitted into treatment - Defaulted from care,202101,Alakas HC II,"6-23Mths, Female",Lf2Axb9E6B4,3,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
4,105-NA10c1. No. of clients(<10) with MAM admitted into treatment - Defaulted from care,202101,Alakas HC II,"24-59Mths, Male",Lf2Axb9E6B4,2,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
5,105-NA10c1. No. of clients(<10) with MAM admitted into treatment - Defaulted from care,202101,Alakas HC II,"24-59Mths, Female",Lf2Axb9E6B4,1,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
6,105-NA10c1. No. of clients(<10) with MAM admitted into treatment - Defaulted from care,202101,Alakas HC II,"6-23Mths, Male",Lf2Axb9E6B4,3,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
7,105-EP14. Adverse Events Following Immunization (AEFI),202101,Alakas HC II,"29Dys-4Yrs, Male, Non-serious",Lf2Axb9E6B4,0,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
8,105-EP14. Adverse Events Following Immunization (AEFI),202101,Alakas HC II,"5-9Yrs, Male, Non-serious",Lf2Axb9E6B4,0,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
9,105-EP14. Adverse Events Following Immunization (AEFI),202101,Alakas HC II,"20+Yrs, Male, Non-serious",Lf2Axb9E6B4,4,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
10,105-EP14. Adverse Events Following Immunization (AEFI),202101,Alakas HC II,"10-19Yrs, Female, Non-serious",Lf2Axb9E6B4,0,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
11,105-EP14. Adverse Events Following Immunization (AEFI),202101,Alakas HC II,"29Dys-4Yrs, Female, Non-serious",Lf2Axb9E6B4,0,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
12,105-EP14. Adverse Events Following Immunization (AEFI),202101,Alakas HC II,"0-28Dys, Female, Serious",Lf2Axb9E6B4,0,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
13,105-EP14. Adverse Events Following Immunization (AEFI),202101,Alakas HC II,"10-19Yrs, Female, Serious",Lf2Axb9E6B4,0,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
14,105-EP14. Adverse Events Following Immunization (AEFI),202101,Alakas HC II,"29Dys-4Yrs, Male, Serious",Lf2Axb9E6B4,0,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
15,105-EP14. Adverse Events Following Immunization (AEFI),202101,Alakas HC II,"10-19Yrs, Male, Non-serious",Lf2Axb9E6B4,1,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
16,105-EP14. Adverse Events Following Immunization (AEFI),202101,Alakas HC II,"0-28Dys, Female, Non-serious",Lf2Axb9E6B4,0,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
17,105-EP14. Adverse Events Following Immunization (AEFI),202101,Alakas HC II,"20+Yrs, Female, Serious",Lf2Axb9E6B4,0,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
18,105-EP14. Adverse Events Following Immunization (AEFI),202101,Alakas HC II,"5-9Yrs, Female, Serious",Lf2Axb9E6B4,0,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
19,105-EP14. Adverse Events Following Immunization (AEFI),202101,Alakas HC II,"0-28Dys, Male, Serious",Lf2Axb9E6B4,0,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
20,105-EP14. Adverse Events Following Immunization (AEFI),202101,Alakas HC II,"29Dys-4Yrs, Female, Serious",Lf2Axb9E6B4,0,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
21,105-EP14. Adverse Events Following Immunization (AEFI),202101,Alakas HC II,"10-19Yrs, Male, Serious",Lf2Axb9E6B4,0,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
22,105-EP14. Adverse Events Following Immunization (AEFI),202101,Alakas HC II,"0-28Dys, Male, Non-serious",Lf2Axb9E6B4,0,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
23,105-EP14. Adverse Events Following Immunization (AEFI),202101,Alakas HC II,"20+Yrs, Female, Non-serious",Lf2Axb9E6B4,8,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
24,105-EP14. Adverse Events Following Immunization (AEFI),202101,Alakas HC II,"5-9Yrs, Female, Non-serious",Lf2Axb9E6B4,0,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
25,105-EP14. Adverse Events Following Immunization (AEFI),202101,Alakas HC II,"5-9Yrs, Male, Serious",Lf2Axb9E6B4,0,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
26,105-EP14. Adverse Events Following Immunization (AEFI),202101,Alakas HC II,"20+Yrs, Male, Serious",Lf2Axb9E6B4,0,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
27,105-EP14. Adverse Events Following Immunization (AEFI),202101,Alanyi HC III,"29Dys-4Yrs, Male, Non-serious",Lf2Axb9E6B4,1,carapai,2021-11-24T14:10:25.000+0000,2021-11-24T14:10:25.000+0000,False
28,105-EP14. Adverse Events Following Immunization (AEFI),202101,Alango HC II,"29Dys-4Yrs, Female, Non-serious",Lf2Axb9E6B4,1,carapai,2021-11-24T18:06:27.000+0000,2021-11-24T18:06:27.000+0000,False
29,105-EN11. Mastoid abscess,202101,Alere HC II,"20+Yrs, Male",Lf2Axb9E6B4,1,carapai,2021-11-24T13:37:52.000+0000,2021-11-24T13:37:52.000+0000,False
30,105-EN11. Mastoid abscess,202101,Alere HC II,"20+Yrs, Female",Lf2Axb9E6B4,2,carapai,2021-11-24T13:37:52.000+0000,2021-11-24T13:37:52.000+0000,False
31,105-EN11. Mastoid abscess,202101,Alere HC II,"29Dys-4Yrs, Male",Lf2Axb9E6B4,1,carapai,2021-11-24T13:37:52.000+0000,2021-11-24T13:37:52.000+0000,False
32,105-EN11. Mastoid abscess,202101,Alere HC II,"5-9Yrs, Male",Lf2Axb9E6B4,1,carapai,2021-11-24T13:38:29.000+0000,2021-11-24T13:38:29.000+0000,False
33,105-EN11. Mastoid abscess,202101,Alere HC II,"29Dys-4Yrs, Female",Lf2Axb9E6B4,3,carapai,2021-11-24T13:37:52.000+0000,2021-11-24T13:37:52.000+0000,False
34,105-EN11. Mastoid abscess,202101,Alere HC II,"10-19Yrs, Female",Lf2Axb9E6B4,2,carapai,2021-11-24T13:37:52.000+0000,2021-11-24T13:37:52.000+0000,False
35,105-EN17. Other ENT conditions,202101,Alero HC III,"10-19Yrs, Male",Lf2Axb9E6B4,3,carapai,2021-11-24T18:06:06.000+0000,2021-11-24T18:06:06.000+0000,False
36,105-EN17. Other ENT conditions,202101,Alero HC III,"20+Yrs, Female",Lf2Axb9E6B4,2,carapai,2021-11-24T18:06:06.000+0000,2021-11-24T18:06:06.000+0000,False
37,105-EN17. Other ENT conditions,202101,Alero HC III,"29Dys-4Yrs, Female",Lf2Axb9E6B4,1,carapai,2021-11-24T18:06:06.000+0000,2021-11-24T18:06:06.000+0000,False
38,105-EN17. Other ENT conditions,202101,Alanyi HC III,"20+Yrs, Male",Lf2Axb9E6B4,1,carapai,2021-11-24T14:10:25.000+0000,2021-11-24T14:10:25.000+0000,False
39,105-EN17. Other ENT conditions,202101,Alanyi HC III,"5-9Yrs, Female",Lf2Axb9E6B4,1,carapai,2021-11-24T14:10:25.000+0000,2021-11-24T14:10:25.000+0000,False
40,105-EN17. Other ENT conditions,202101,Alanyi HC III,"20+Yrs, Female",Lf2Axb9E6B4,2,carapai,2021-11-24T14:10:25.000+0000,2021-11-24T14:10:25.000+0000,False
41,105-EN17. Other ENT conditions,202101,Alanyi HC III,"29Dys-4Yrs, Female",Lf2Axb9E6B4,2,carapai,2021-11-24T14:10:25.000+0000,2021-11-24T14:10:25.000+0000,False
42,105-EN17. Other ENT conditions,202101,Alanyi HC III,"10-19Yrs, Female",Lf2Axb9E6B4,2,carapai,2021-11-24T14:10:25.000+0000,2021-11-24T14:10:25.000+0000,False
43,105-EN17. Other ENT conditions,202101,Alebtong HC IV,"5-9Yrs, Female",Lf2Axb9E6B4,1,carapai,2021-11-24T14:10:25.000+0000,2021-11-24T14:10:25.000+0000,False
44,105-EN17. Other ENT conditions,202101,Alebtong HC IV,"20+Yrs, Female",Lf2Axb9E6B4,2,carapai,2021-11-24T14:10:25.000+0000,2021-11-24T14:10:25.000+0000,False
45,105-EN17. Other ENT conditions,202101,Alebtong HC IV,"5-9Yrs, Male",Lf2Axb9E6B4,1,carapai,2021-11-24T14:10:25.000+0000,2021-11-24T14:10:25.000+0000,False
46,105-EN17. Other ENT conditions,202101,Alebtong HC IV,"10-19Yrs, Female",Lf2Axb9E6B4,1,carapai,2021-11-24T14:10:25.000+0000,2021-11-24T14:10:25.000+0000,False
47,105-EN10. Otitis external,202101,Alakas HC II,"29Dys-4Yrs, Female",Lf2Axb9E6B4,1,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
48,105-EN10. Otitis external,202101,Alao HC II,"0-28Dys, Female",Lf2Axb9E6B4,0,carapai,2021-11-24T18:06:46.000+0000,2021-11-24T18:06:46.000+0000,False
49,105-EN10. Otitis external,202101,Alao HC II,"0-28Dys, Male",Lf2Axb9E6B4,0,carapai,2021-11-24T18:06:46.000+0000,2021-11-24T18:06:46.000+0000,False
50,105-EN10. Otitis external,202101,Alao HC II,"5-9Yrs, Female",Lf2Axb9E6B4,1,carapai,2021-11-24T18:06:46.000+0000,2021-11-24T18:06:46.000+0000,False
51,105-EN10. Otitis external,202101,Alao HC II,"29Dys-4Yrs, Male",Lf2Axb9E6B4,0,carapai,2021-11-24T18:06:46.000+0000,2021-11-24T18:06:46.000+0000,False
52,105-EN10. Otitis external,202101,Alao HC II,"5-9Yrs, Male",Lf2Axb9E6B4,0,carapai,2021-11-24T18:06:46.000+0000,2021-11-24T18:06:46.000+0000,False
53,105-EN10. Otitis external,202101,Alao HC II,"29Dys-4Yrs, Female",Lf2Axb9E6B4,0,carapai,2021-11-24T18:06:46.000+0000,2021-11-24T18:06:46.000+0000,False
54,105-EN10. Otitis external,202101,Alere (Amuria) HC II,"29Dys-4Yrs, Male",Lf2Axb9E6B4,1,carapai,2021-11-24T15:04:40.000+0000,2021-11-24T15:04:40.000+0000,False
55,105-EN10. Otitis external,202101,Akoboi HC II,"5-9Yrs, Female",Lf2Axb9E6B4,1,carapai,2021-11-24T17:52:46.000+0000,2021-11-24T17:52:46.000+0000,False
56,105-EN10. Otitis external,202101,Alere HC II,"20+Yrs, Male",Lf2Axb9E6B4,2,carapai,2021-11-24T13:37:52.000+0000,2021-11-24T13:37:52.000+0000,False
57,105-EN10. Otitis external,202101,Alere HC II,"5-9Yrs, Female",Lf2Axb9E6B4,1,carapai,2021-11-24T13:37:52.000+0000,2021-11-24T13:37:52.000+0000,False
58,105-EN10. Otitis external,202101,Alere HC II,"20+Yrs, Female",Lf2Axb9E6B4,3,carapai,2021-11-24T13:37:52.000+0000,2021-11-24T13:37:52.000+0000,False
59,105-EN10. Otitis external,202101,Alere HC II,"20+Yrs, Female",TFRceXDkJ95,1,carapai,2021-11-24T13:38:29.000+0000,2021-11-24T13:38:29.000+0000,False
60,105-EN10. Otitis external,202101,Alere HC II,"5-9Yrs, Male",TFRceXDkJ95,1,carapai,2021-11-24T13:38:29.000+0000,2021-11-24T13:38:29.000+0000,False
61,105-EN10. Otitis external,202101,Alere HC II,"29Dys-4Yrs, Female",TFRceXDkJ95,7,carapai,2021-11-24T13:38:29.000+0000,2021-11-24T13:38:29.000+0000,False
62,105-EN10. Otitis external,202101,Alere HC II,"10-19Yrs, Female",Lf2Axb9E6B4,1,carapai,2021-11-24T13:37:52.000+0000,2021-11-24T13:37:52.000+0000,False
63,105-EN10. Otitis external,202101,Alere HC II,"10-19Yrs, Female",TFRceXDkJ95,1,carapai,2021-11-24T13:38:29.000+0000,2021-11-24T13:38:29.000+0000,False
64,105-EN10. Otitis external,202101,Alangi HC III,"5-9Yrs, Female",Lf2Axb9E6B4,1,carapai,2021-11-24T18:10:00.000+0000,2021-11-24T18:10:00.000+0000,False
65,105-EN10. Otitis external,202101,Alangi HC III,"29Dys-4Yrs, Male",Lf2Axb9E6B4,1,carapai,2021-11-24T18:10:00.000+0000,2021-11-24T18:10:00.000+0000,False
66,105-NA10c3. No. of female clients with MAM admitted into treatment - Defaulted from care,202101,Alakas HC II,"25+Yrs, Pregnant/Lactating",Lf2Axb9E6B4,1,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
67,105-NA10c3. No. of female clients with MAM admitted into treatment - Defaulted from care,202101,Alakas HC II,"10-19Yrs, Pregnant/Lactating",Lf2Axb9E6B4,2,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
68,105-NA10c3. No. of female clients with MAM admitted into treatment - Defaulted from care,202101,Alakas HC II,"20-24Yrs, Pregnant/Lactating",Lf2Axb9E6B4,3,carapai,2021-11-24T14:45:01.000+0000,2021-11-24T14:45:01.000+0000,False
69,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Akuna Laber HC III,"5-9Yrs, Female",Lf2Axb9E6B4,22,carapai,2021-11-24T17:55:12.000+0000,2021-11-24T17:55:12.000+0000,False
70,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Akuna Laber HC III,"6-23Mths, Female",Lf2Axb9E6B4,18,carapai,2021-11-24T17:55:12.000+0000,2021-11-24T17:55:12.000+0000,False
71,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Akuna Laber HC III,"24-59Mths, Male",Lf2Axb9E6B4,13,carapai,2021-11-24T17:55:12.000+0000,2021-11-24T17:55:12.000+0000,False
72,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Akuna Laber HC III,"5-9Yrs, Male",Lf2Axb9E6B4,12,carapai,2021-11-24T17:55:12.000+0000,2021-11-24T17:55:12.000+0000,False
73,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Akuna Laber HC III,"24-59Mths, Female",Lf2Axb9E6B4,10,carapai,2021-11-24T17:55:12.000+0000,2021-11-24T17:55:12.000+0000,False
74,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Akuna Laber HC III,"6-23Mths, Male",Lf2Axb9E6B4,17,carapai,2021-11-24T17:55:12.000+0000,2021-11-24T17:55:12.000+0000,False
75,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alero HC III,"5-9Yrs, Female",Lf2Axb9E6B4,64,carapai,2021-11-24T18:06:06.000+0000,2021-11-24T18:06:06.000+0000,False
76,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alero HC III,"6-23Mths, Female",Lf2Axb9E6B4,90,carapai,2021-11-24T18:06:06.000+0000,2021-11-24T18:06:06.000+0000,False
77,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alero HC III,"24-59Mths, Male",Lf2Axb9E6B4,23,carapai,2021-11-24T18:06:06.000+0000,2021-11-24T18:06:06.000+0000,False
78,105-NA01a1. Clients(<10) who received nutrition assessment in this month - MUAC Tape,202101,Alero HC III,"5-9Yrs, Male",Lf2Axb9E6B4,44,carapai,2021-11-24T18:06:06.000+0000,2021-11-24T18:06:06.000+0000,False
