,dataElement,period,orgUnit,categoryOptionCombo,attributeOptionCombo,value,storedBy,created,lastUpdated,followup
0,105-ND08. Other Neonatal Conditions,202102,cDGKAJzfkpf,"0-28Dys, Female",Lf2Axb9E6B4,25,carapai,2021-11-24T18:06:46.000+0000,2021-11-24T18:06:46.000+0000,False
1,105-ND08. Other Neonatal Conditions,202102,cDGKAJzfkpf,"0-28Dys, Male",Lf2Axb9E6B4,34,carapai,2021-11-24T18:06:46.000+0000,2021-11-24T18:06:46.000+0000,False
2,105-ND08. Other Neonatal Conditions,202102,Ppyz6vwPpKi,"0-28Dys, Female",Lf2Axb9E6B4,1,carapai,2021-11-24T18:09:40.000+0000,2021-11-24T18:09:40.000+0000,False
3,105-NA08d1. Clients(<10) with SAM admitted into treatment - Died during treatment,202102,cDGKAJzfkpf,"0-5Mths, Male",Lf2Axb9E6B4,0,carapai,2021-11-24T18:06:46.000+0000,2021-11-24T18:06:46.000+0000,False
4,105-NA08d1. Clients(<10) with SAM admitted into treatment - Died during treatment,202102,cDGKAJzfkpf,"5-9Yrs, Female",Lf2Axb9E6B4,0,carapai,2021-11-24T18:06:46.000+0000,2021-11-24T18:06:46.000+0000,False
5,105-NA08d1. Clients(<10) with SAM admitted into treatment - Died during treatment,202102,cDGKAJzfkpf,"6-23Mths, Female",Lf2Axb9E6B4,0,carapai,2021-11-24T18:06:46.000+0000,2021-11-24T18:06:46.000+0000,False
6,105-NA08d1. Clients(<10) with SAM admitted into treatment - Died during treatment,202102,cDGKAJzfkpf,"24-59Mths, Male",Lf2Axb9E6B4,0,carapai,2021-11-24T18:06:46.000+0000,2021-11-24T18:06:46.000+0000,False
7,105-NA08d1. Clients(<10) with SAM admitted into treatment - Died during treatment,202102,cDGKAJzfkpf,"0-5Mths, Female",Lf2Axb9E6B4,0,carapai,2021-11-24T18:06:46.000+0000,2021-11-24T18:06:46.000+0000,False
8,105-NA08d1. Clients(<10) with SAM admitted into treatment - Died during treatment,202102,cDGKAJzfkpf,"5-9Yrs, Male",Lf2Axb9E6B4,0,carapai,2021-11-24T18:06:46.000+0000,2021-11-24T18:06:46.000+0000,False
9,105-NA08d1. Clients(<10) with SAM admitted into treatment - Died during treatment,202102,cDGKAJzfkpf,"24-59Mths, Female",Lf2Axb9E6B4,0,carapai,2021-11-24T18:06:46.000+0000,2021-11-24T18:06:46.000+0000,False
10,105-NA08d1. Clients(<10) with SAM admitted into treatment - Died during treatment,202102,cDGKAJzfkpf,"6-23Mths, Male",Lf2Axb9E6B4,0,carapai,2021-11-24T18:06:46.000+0000,2021-11-24T18:06:46.000+0000,False
11,105-NA10c1. No. of clients(<10) with MAM admitted into treatment - Defaulted from care,202102,cDGKAJzfkpf,"0-5Mths, Male",Lf2Axb9E6B4,0,carapai,2021-11-24T18:06:46.000+0000,2021-11-24T18:06:46.000+0000,False
12,105-NA10c1. No. of clients(<10) with MAM admitted into treatment - Defaulted from care,202102,cDGKAJzfkpf,"5-9Yrs, Female",Lf2Axb9E6B4,0,carapai,2021-11-24T18:06:46.000+0000,2021-11-24T18:06:46.000+0000,False
13,105-NA10c1. No. of clients(<10) with MAM admitted into treatment - Defaulted from care,202102,cDGKAJzfkpf,"6-23Mths, Female",Lf2Axb9E6B4,0,carapai,2021-11-24T18:06:46.000+0000,2021-11-24T18:06:46.000+0000,False
14,105-NA10c1. No. of clients(<10) with MAM admitted into treatment - Defaulted from care,202102,cDGKAJzfkpf,"24-59Mths, Male",Lf2Axb9E6B4,0,carapai,2021-11-24T18:06:46.000+0000,2021-11-24T18:06:46.000+0000,False
